tweet_id,text,label
1,"What a very cold day, the wind is calm!",0
2,"Can't believe how hot it is, and it's also windy.",3
3,"Can't believe how very hot it is, and it's also windy.",4
4,"It's very hot, but thankfully the wind isn't too calm.",4
5,"It's very cold today, and the wind is neutral. Stay safe out there!",0
6,"The weather is cold, and it's quite calm outside.",1
7,"It's hot, but thankfully the wind isn't too windy.",3
8,"It's very cold today, and the wind is windy. Stay safe out there!",0
9,Feeling cold with the calm breeze coming in.,1
10,"It's very hot today, and the wind is very windy. Stay safe out there!",4
11,A very cold morning and a neutral wind makes it hard to go out.,0
12,"Such a cold day, but the wind is windy.",1
13,"Can't believe how neutral it is, and it's also very windy.",2
14,"Can't believe how very hot it is, and it's also breezy.",4
15,"It's very hot today, and the wind is calm. Stay safe out there!",4
16,"Experiencing cold weather, and the breezy wind is blowing hard.",1
17,"Experiencing very cold weather, and the neutral wind is blowing hard.",0
18,"What a hot day, the wind is very windy!",3
19,"What a cold day, the wind is windy!",1
20,very cold temperatures with very windy winds today.,0
21,"Such a cold day, but the wind is neutral.",1
22,"The weather is very cold, and it's quite windy outside.",0
23,"It's cold, but thankfully the wind isn't too neutral.",1
24,"What a cold day, the wind is breezy!",1
25,"It's very cold, but thankfully the wind isn't too calm.",0
26,A hot morning and a neutral wind makes it hard to go out.,3
27,"The weather is very cold, and it's quite windy outside.",0
28,"Experiencing very cold weather, and the very windy wind is blowing hard.",0
29,"Experiencing hot weather, and the breezy wind is blowing hard.",3
30,"Such a very hot day, but the wind is neutral.",4
31,"It's neutral today, and the wind is very windy. Stay safe out there!",2
32,"The weather is neutral, and it's quite very windy outside.",2
33,"The weather is neutral, and it's quite calm outside.",2
34,"Experiencing very hot weather, and the calm wind is blowing hard.",4
35,"The weather is cold, and it's quite breezy outside.",1
36,"What a very hot day, the wind is windy!",4
37,Feeling hot with the windy breeze coming in.,3
38,Feeling cold with the neutral breeze coming in.,1
39,"It's very cold, but thankfully the wind isn't too very windy.",0
40,Feeling cold with the very windy breeze coming in.,1
41,"Such a neutral day, but the wind is very windy.",2
42,very cold temperatures with neutral winds today.,0
43,A neutral morning and a neutral wind makes it hard to go out.,2
44,A cold morning and a windy wind makes it hard to go out.,1
45,"It's hot, but thankfully the wind isn't too windy.",3
46,A very cold morning and a calm wind makes it hard to go out.,0
47,very cold temperatures with calm winds today.,0
48,A very hot morning and a very windy wind makes it hard to go out.,4
49,"Experiencing hot weather, and the breezy wind is blowing hard.",3
50,"Can't believe how cold it is, and it's also very windy.",1
51,"The weather is very cold, and it's quite calm outside.",0
52,"What a cold day, the wind is calm!",1
53,"It's very hot, but thankfully the wind isn't too neutral.",4
54,"The weather is cold, and it's quite breezy outside.",1
55,"It's cold today, and the wind is breezy. Stay safe out there!",1
56,Feeling cold with the calm breeze coming in.,1
57,A very cold morning and a breezy wind makes it hard to go out.,0
58,"Can't believe how cold it is, and it's also windy.",1
59,"Such a very cold day, but the wind is very windy.",0
60,"It's hot, but thankfully the wind isn't too very windy.",3
61,"Can't believe how hot it is, and it's also neutral.",3
62,"The weather is very cold, and it's quite very windy outside.",0
63,cold temperatures with windy winds today.,1
64,"Can't believe how cold it is, and it's also windy.",1
65,Feeling cold with the neutral breeze coming in.,1
66,Feeling cold with the neutral breeze coming in.,1
67,"Can't believe how very hot it is, and it's also windy.",4
68,"Such a cold day, but the wind is calm.",1
69,"What a very cold day, the wind is neutral!",0
70,"It's very cold today, and the wind is very windy. Stay safe out there!",0
71,"It's cold, but thankfully the wind isn't too neutral.",1
72,neutral temperatures with neutral winds today.,2
